logic,math,creativity,coding,communication,patience,curiosity,attention,risk_taking,visualization,role
5,4,2,4,2,5,4,4,5,1,AI_Engineer
5,4,2,5,3,5,5,3,3,3,AI_Engineer
4,5,3,5,3,4,5,4,4,1,AI_Engineer
5,4,2,5,1,5,5,3,5,3,AI_Engineer
4,5,3,5,3,5,5,4,5,2,AI_Engineer
5,5,2,5,1,4,5,3,4,1,AI_Engineer
5,5,2,5,3,5,5,5,4,3,AI_Engineer
5,4,1,5,1,5,4,3,5,2,AI_Engineer
5,5,1,5,1,4,5,3,4,1,AI_Engineer
5,5,1,5,3,4,5,5,5,3,AI_Engineer
5,5,3,4,2,5,5,4,3,3,AI_Engineer
4,5,3,5,2,5,4,5,4,2,AI_Engineer
4,4,3,5,3,4,5,3,3,2,AI_Engineer
5,5,2,5,2,4,5,5,3,3,AI_Engineer
5,5,1,5,1,5,5,5,4,2,AI_Engineer
5,5,3,5,2,5,5,5,4,3,AI_Engineer
5,5,2,5,3,4,5,4,5,1,AI_Engineer
5,5,3,4,3,5,5,3,5,3,AI_Engineer
5,5,2,4,2,5,5,4,3,3,AI_Engineer
5,5,3,5,2,5,4,4,3,3,AI_Engineer
4,5,3,4,2,5,5,4,4,2,AI_Engineer
5,5,1,5,2,4,5,3,5,3,AI_Engineer
4,5,2,5,3,5,5,3,4,1,AI_Engineer
5,4,3,5,1,5,5,5,3,3,AI_Engineer
5,5,1,4,1,4,4,4,3,2,AI_Engineer
5,5,1,5,1,5,5,5,5,3,AI_Engineer
5,4,1,5,2,5,4,3,3,3,AI_Engineer
4,5,1,5,1,5,4,3,3,1,AI_Engineer
5,4,3,5,3,5,5,4,3,3,AI_Engineer
5,5,3,5,3,5,4,3,4,2,AI_Engineer
3,5,2,3,4,4,5,5,2,2,Data_Scientist
3,4,3,4,4,3,5,5,4,2,Data_Scientist
3,5,3,4,2,3,5,5,2,1,Data_Scientist
5,4,2,3,3,5,5,5,2,3,Data_Scientist
5,5,2,4,2,3,5,5,4,1,Data_Scientist
5,4,2,3,2,4,4,4,3,2,Data_Scientist
5,4,3,4,2,4,5,5,2,3,Data_Scientist
3,5,2,3,3,3,4,4,2,3,Data_Scientist
4,5,2,4,4,3,4,5,2,2,Data_Scientist
5,5,3,4,4,5,4,5,4,3,Data_Scientist
3,4,2,4,4,5,5,5,3,2,Data_Scientist
4,5,1,3,4,4,5,5,2,3,Data_Scientist
4,5,3,2,3,3,5,5,4,1,Data_Scientist
4,5,2,4,3,5,5,5,4,3,Data_Scientist
4,5,3,3,4,4,5,5,2,2,Data_Scientist
3,5,2,2,2,3,5,5,3,3,Data_Scientist
4,5,2,4,2,3,5,5,4,3,Data_Scientist
5,4,2,4,2,3,4,5,3,3,Data_Scientist
3,5,3,3,2,5,4,5,2,3,Data_Scientist
4,5,3,2,3,5,4,5,4,1,Data_Scientist
5,5,1,2,4,5,4,4,4,2,Data_Scientist
5,4,1,3,2,3,4,5,4,3,Data_Scientist
4,5,1,4,2,5,5,4,2,1,Data_Scientist
3,5,2,3,2,5,5,4,4,3,Data_Scientist
4,5,1,2,2,5,4,5,3,2,Data_Scientist
5,4,1,3,4,5,5,4,3,3,Data_Scientist
5,4,1,2,3,4,5,4,2,2,Data_Scientist
4,4,2,2,4,5,4,5,2,2,Data_Scientist
4,5,2,2,3,3,5,5,2,1,Data_Scientist
5,5,3,3,4,5,5,5,2,2,Data_Scientist
5,3,3,5,2,5,4,4,4,3,ML_Engineer
5,3,3,5,2,4,3,3,4,1,ML_Engineer
5,5,1,4,2,5,3,5,3,2,ML_Engineer
5,4,2,4,2,5,3,3,4,3,ML_Engineer
5,4,1,5,2,5,3,4,3,1,ML_Engineer
4,5,2,5,3,5,3,3,3,1,ML_Engineer
5,5,1,5,2,5,4,3,5,2,ML_Engineer
5,4,1,5,1,4,4,4,5,2,ML_Engineer
5,3,3,5,3,5,3,5,3,1,ML_Engineer
4,4,3,4,3,5,3,4,3,3,ML_Engineer
4,5,1,4,1,5,4,3,3,1,ML_Engineer
4,3,3,5,3,4,3,5,4,1,ML_Engineer
4,5,3,4,1,5,4,5,4,2,ML_Engineer
5,3,1,4,2,5,5,4,5,2,ML_Engineer
5,5,1,5,2,5,4,5,3,1,ML_Engineer
5,4,3,5,3,5,4,3,3,2,ML_Engineer
4,5,1,5,1,5,3,5,5,3,ML_Engineer
5,5,3,5,1,5,4,5,3,3,ML_Engineer
4,3,3,5,3,5,4,3,5,2,ML_Engineer
5,4,3,5,1,5,5,5,4,1,ML_Engineer
5,5,1,5,1,4,3,5,5,2,ML_Engineer
5,5,2,5,3,4,3,3,5,1,ML_Engineer
5,3,3,5,3,5,4,5,4,3,ML_Engineer
5,4,1,5,2,4,3,4,4,3,ML_Engineer
5,3,1,5,3,5,5,5,4,2,ML_Engineer
5,4,1,4,2,5,3,4,4,3,ML_Engineer
5,5,2,5,3,5,4,4,5,3,ML_Engineer
5,3,3,5,2,5,5,3,4,1,ML_Engineer
5,5,1,5,1,4,5,5,3,2,ML_Engineer
5,5,2,4,3,5,4,5,3,2,ML_Engineer
5,2,3,5,3,3,3,4,2,2,Backend_Developer
5,4,1,5,1,4,2,3,2,1,Backend_Developer
3,2,3,4,2,3,4,5,4,1,Backend_Developer
4,4,1,5,3,4,4,5,4,2,Backend_Developer
4,3,3,4,1,5,3,5,3,3,Backend_Developer
5,4,1,5,1,3,4,3,4,2,Backend_Developer
5,3,1,5,1,5,3,4,4,1,Backend_Developer
4,4,1,5,3,4,2,5,4,3,Backend_Developer
4,3,3,5,1,5,4,4,3,3,Backend_Developer
3,3,3,4,3,4,3,5,4,2,Backend_Developer
5,3,3,5,2,3,2,3,3,2,Backend_Developer
3,2,1,5,1,4,2,5,3,3,Backend_Developer
3,4,3,5,1,3,4,4,4,3,Backend_Developer
5,2,2,5,1,5,2,5,4,2,Backend_Developer
4,4,1,4,1,3,4,4,4,3,Backend_Developer
3,4,2,4,3,5,2,4,2,3,Backend_Developer
4,4,1,5,3,5,3,3,2,2,Backend_Developer
3,3,1,5,2,4,3,4,4,3,Backend_Developer
4,3,2,5,2,4,2,4,4,3,Backend_Developer
5,4,1,5,3,5,3,4,4,3,Backend_Developer
5,4,3,4,1,3,2,4,3,2,Backend_Developer
4,2,1,5,2,3,4,4,4,3,Backend_Developer
4,4,1,5,1,4,3,4,3,3,Backend_Developer
3,2,2,5,3,5,3,3,3,3,Backend_Developer
4,4,3,4,3,3,3,3,3,3,Backend_Developer
5,3,2,5,1,5,2,4,4,2,Backend_Developer
5,4,2,4,1,3,3,4,3,3,Backend_Developer
3,4,3,4,2,4,4,5,3,2,Backend_Developer
4,2,2,4,2,5,4,5,4,2,Backend_Developer
5,4,1,4,1,4,4,5,3,2,Backend_Developer
2,3,5,2,5,3,3,3,3,5,Frontend_Developer
1,2,4,2,5,2,4,4,5,5,Frontend_Developer
2,1,5,4,5,2,2,2,4,5,Frontend_Developer
3,2,5,2,5,3,2,3,4,4,Frontend_Developer
3,1,4,4,3,3,4,2,5,4,Frontend_Developer
3,1,4,4,3,2,4,4,4,5,Frontend_Developer
2,3,5,3,3,2,4,4,4,5,Frontend_Developer
2,3,4,4,3,2,3,3,4,4,Frontend_Developer
2,2,4,4,3,3,2,3,5,4,Frontend_Developer
1,3,5,2,3,2,3,3,3,4,Frontend_Developer
2,2,4,3,4,3,4,2,4,4,Frontend_Developer
2,1,4,4,4,4,2,2,3,5,Frontend_Developer
2,2,4,3,5,3,3,2,4,5,Frontend_Developer
3,3,4,3,4,4,2,4,3,5,Frontend_Developer
1,3,5,2,5,4,2,3,3,4,Frontend_Developer
2,3,4,2,5,4,4,2,3,5,Frontend_Developer
2,1,5,4,4,2,3,3,3,4,Frontend_Developer
1,1,4,4,5,2,3,4,4,5,Frontend_Developer
2,1,5,3,4,3,4,2,5,5,Frontend_Developer
2,1,4,3,3,4,4,4,4,4,Frontend_Developer
3,2,4,3,4,2,2,4,3,5,Frontend_Developer
3,1,4,2,3,4,4,3,3,5,Frontend_Developer
3,2,4,3,3,4,4,3,3,5,Frontend_Developer
2,1,5,2,3,4,4,3,3,5,Frontend_Developer
1,3,4,2,5,3,2,2,4,4,Frontend_Developer
2,2,5,3,3,4,4,3,5,5,Frontend_Developer
2,1,4,2,3,3,2,2,4,5,Frontend_Developer
1,3,5,2,5,2,2,2,5,5,Frontend_Developer
1,2,5,3,3,2,2,2,3,5,Frontend_Developer
3,1,5,4,5,3,4,4,5,4,Frontend_Developer
1,2,5,2,5,2,1,3,5,4,UI_UX_Designer
2,1,4,1,4,1,2,4,4,4,UI_UX_Designer
1,1,4,2,5,3,1,2,3,4,UI_UX_Designer
1,2,4,1,4,1,2,2,3,4,UI_UX_Designer
1,1,5,1,4,1,2,3,5,4,UI_UX_Designer
2,1,5,1,4,1,3,3,3,4,UI_UX_Designer
1,2,4,1,4,3,3,2,4,4,UI_UX_Designer
2,1,4,1,5,2,1,2,4,5,UI_UX_Designer
1,2,5,1,4,2,3,4,3,5,UI_UX_Designer
2,1,5,2,5,2,2,3,4,4,UI_UX_Designer
1,2,5,1,4,1,1,4,5,5,UI_UX_Designer
2,2,5,2,5,3,1,3,5,5,UI_UX_Designer
1,1,4,1,5,2,2,4,5,5,UI_UX_Designer
2,1,5,1,5,1,3,3,5,4,UI_UX_Designer
1,1,5,1,4,3,2,3,4,5,UI_UX_Designer
1,1,4,1,5,1,1,3,4,5,UI_UX_Designer
1,2,5,1,5,1,3,3,5,5,UI_UX_Designer
2,2,5,2,5,1,1,3,3,5,UI_UX_Designer
1,1,5,2,4,2,3,4,4,5,UI_UX_Designer
2,2,4,1,5,3,2,4,5,5,UI_UX_Designer
2,2,5,1,5,2,3,4,3,4,UI_UX_Designer
2,1,5,1,5,1,2,3,3,5,UI_UX_Designer
1,1,5,1,5,3,1,3,5,5,UI_UX_Designer
1,1,4,1,5,2,3,3,3,5,UI_UX_Designer
1,1,5,2,4,2,2,3,4,5,UI_UX_Designer
1,2,5,2,5,1,2,3,3,5,UI_UX_Designer
1,1,5,1,5,1,3,3,3,5,UI_UX_Designer
1,1,5,1,4,2,1,4,3,5,UI_UX_Designer
